soil_case,turn_mode,usable_firm_width_fraction,swept_turn_width_m,turn_service_s,turn_pockets,service_window_min,far_shore_before_retreat,actually_immobilized,mobile_retreat_candidates,vehicle_turn_capacity,vehicles_returned_bound,vehicles_trapped_bound,no_far_shore_escape_gate,no_vehicle_return_gate
patchy_sand_over_soft,shoulder_only,1.0,20.0,60.0,4,132.65432098765436,8,18,574,528,528,64,False,False
patchy_sand_over_soft,shoulder_only,0.75,10.0,30.0,6,132.65432098765436,8,18,574,1590,574,18,False,False
patchy_sand_over_soft,shoulder_only,0.75,10.0,45.0,6,132.65432098765436,8,18,574,1056,574,18,False,False
patchy_sand_over_soft,shoulder_only,0.75,10.0,60.0,6,132.65432098765436,8,18,574,792,574,18,False,False
patchy_sand_over_soft,shoulder_only,0.75,15.0,30.0,3,132.65432098765436,8,18,574,795,574,18,False,False
patchy_sand_over_soft,shoulder_only,0.75,15.0,45.0,3,132.65432098765436,8,18,574,528,528,64,False,False
patchy_sand_over_soft,shoulder_only,0.75,15.0,60.0,3,132.65432098765436,8,18,574,396,396,196,False,False
patchy_sand_over_soft,shoulder_only,0.75,20.0,30.0,2,132.65432098765436,8,18,574,530,530,62,False,False
patchy_sand_over_soft,shoulder_only,0.75,20.0,45.0,2,132.65432098765436,8,18,574,352,352,240,False,False
patchy_sand_over_soft,shoulder_only,0.75,20.0,60.0,2,132.65432098765436,8,18,574,264,264,328,False,False
patchy_sand_over_soft,shoulder_only,0.5,10.0,30.0,2,132.65432098765436,8,18,574,530,530,62,False,False
patchy_sand_over_soft,shoulder_only,0.5,10.0,45.0,2,132.65432098765436,8,18,574,352,352,240,False,False
patchy_sand_over_soft,shoulder_only,0.5,10.0,60.0,2,132.65432098765436,8,18,574,264,264,328,False,False
patchy_sand_over_soft,shoulder_only,0.5,15.0,30.0,1,132.65432098765436,8,18,574,265,265,327,False,False
patchy_sand_over_soft,shoulder_only,0.5,15.0,45.0,1,132.65432098765436,8,18,574,176,176,416,False,False
patchy_sand_over_soft,shoulder_only,0.5,15.0,60.0,1,132.65432098765436,8,18,574,132,132,460,False,False
patchy_sand_over_soft,shoulder_only,0.5,20.0,30.0,0,132.65432098765436,8,18,574,0,0,592,False,True
patchy_sand_over_soft,shoulder_only,0.5,20.0,45.0,0,132.65432098765436,8,18,574,0,0,592,False,True
patchy_sand_over_soft,shoulder_only,0.5,20.0,60.0,0,132.65432098765436,8,18,574,0,0,592,False,True
patchy_sand_over_soft,full_width_after_halt,1.0,10.0,30.0,13,132.65432098765436,8,18,574,3445,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,10.0,45.0,13,132.65432098765436,8,18,574,2288,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,10.0,60.0,13,132.65432098765436,8,18,574,1716,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,15.0,30.0,9,132.65432098765436,8,18,574,2385,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,15.0,45.0,9,132.65432098765436,8,18,574,1584,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,15.0,60.0,9,132.65432098765436,8,18,574,1188,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,20.0,30.0,6,132.65432098765436,8,18,574,1590,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,20.0,45.0,6,132.65432098765436,8,18,574,1056,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,1.0,20.0,60.0,6,132.65432098765436,8,18,574,792,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,10.0,30.0,9,132.65432098765436,8,18,574,2385,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,10.0,45.0,9,132.65432098765436,8,18,574,1584,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,10.0,60.0,9,132.65432098765436,8,18,574,1188,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,15.0,30.0,6,132.65432098765436,8,18,574,1590,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,15.0,45.0,6,132.65432098765436,8,18,574,1056,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,15.0,60.0,6,132.65432098765436,8,18,574,792,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,20.0,30.0,4,132.65432098765436,8,18,574,1060,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,20.0,45.0,4,132.65432098765436,8,18,574,704,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.75,20.0,60.0,4,132.65432098765436,8,18,574,528,528,64,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,10.0,30.0,6,132.65432098765436,8,18,574,1590,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,10.0,45.0,6,132.65432098765436,8,18,574,1056,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,10.0,60.0,6,132.65432098765436,8,18,574,792,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,15.0,30.0,4,132.65432098765436,8,18,574,1060,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,15.0,45.0,4,132.65432098765436,8,18,574,704,574,18,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,15.0,60.0,4,132.65432098765436,8,18,574,528,528,64,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,20.0,30.0,2,132.65432098765436,8,18,574,530,530,62,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,20.0,45.0,2,132.65432098765436,8,18,574,352,352,240,False,False
patchy_sand_over_soft,full_width_after_halt,0.5,20.0,60.0,2,132.65432098765436,8,18,574,264,264,328,False,False
